ID,Title,TMDB_id,IMGID,Release,Runtime,Genres,Language,Cast,Director,Producer,Writer,Sound Designer,Editor,Director of Photography,Composer,Art Direction,Production Design,Costume Design,Makeup Artist
[Film1000],Cure,36095,/nLZ2AJFLtMoAAAD54mbT4exj1Wp.jpg,1997-11-06,111,"Crime,Thriller,Horror,Mystery",ja,"Koji Yakusho,Tsuyoshi Ujiki,Anna Nakagawa,Yukijiro Hotaru,Yoriko Douguchi",Kiyoshi Kurosawa,"Satoshi Kanno,Atsuyuki Shimoda,Tsutomu Tsuchikawa,Tetsuya Ikeda",,,Kan Suzuki,Tokushô Kikumura,Gary Ashiya,,Tomoyuki Maruo,"Hiroshi Kotô,Ryûsui Morita",
[Film10028],Body Melt,22455,/3DhwXNsZ5X66aQi9VnJMPn1Xcsl.jpg,1994-10-28,81,"Comedy,Horror,Science Fiction",en,"Gerard Kennedy,Andrew Daddo,Ian Smith,Regina Caigalas,Vincent Gil",Philip Brophy,"Daniel Scharf,Rod Bishop",,Philip Brophy,Bill Murphy,Ray Argall,Philip Brophy,Peta Lawson,Maria Kozic,Anna Borghesi,Paul Pattison
[Film10041],Breakdown,2163,/h6POHvMnoqBVpAFQXCMBoTjru9.jpg,1997-05-02,95,"Crime,Drama,Mystery,Thriller",en,"Kurt Russell,J. T. Walsh,Kathleen Quinlan,M.C. Gainey,Jack Noseworthy",Jonathan Mostow,"Dino De Laurentiis,Martha De Laurentiis",,,"Kevin Stitt,Derek Brechin",Douglas Milsome,Basil Poledouris,Lee Maymen,Victoria Paul,Terry Dresbach,Tom Hoerber
[Film10044],Mary Shelley's Frankenstein,3036,/cUeouwPcf6yIS3Um3X2oPyjtIea.jpg,1994-11-04,123,"Drama,Horror,Science Fiction,Romance",en,"Robert De Niro,Kenneth Branagh,Tom Hulce,Helena Bonham Carter,Aidan Quinn",Kenneth Branagh,"Francis Ford Coppola,James V. Hart,John Veitch","Frank Darabont,Steph Lady",,Andrew Marcus,Roger Pratt,Patrick Doyle,"John Fenner,Desmond Crowe",Tim Harvey,James Acheson,"Paul Engelen,Carol Hemming,Daniel Parker,Deborah Lanser"
[Film100465],Fe,305815,/sQ2rVXwel9lrSYfTIlICdXnfxn0.jpg,1994-01-01,67,Drama,ja,"Eiji Maruyama,Reina Oshibe,Fumiko Kawahara",Kanji Nakajima,Kanji Nakajima,,,Kanji Nakajima,"Kanji Nakajima,Kazuma Yamaoka",,,,,
[Film100480],"Chile, the Obstinate Memory",168421,/1QTRTFaByM7yMeLehjqBb7tILll.jpg,1997-02-25,59,Documentary,es,"Patricio Guzmán,Vincent Davy,José Balmes,Hortensia Allende,Pablo Perelman",Patricio Guzmán,,,,,Eric Pittard,,,,,
[Film10065],Metropolitan,15389,/852ZwTRj9tRxkGOT0Pu0Ep8yimk.jpg,1990-08-03,99,"Comedy,Drama,Romance",en,"Edward Clements,Chris Eigeman,Taylor Nichols,Carolyn Farina,Isabel Gillies",Whit Stillman,"Whit Stillman,Jose Luis García",Whit Stillman,,Christopher Tellefsen,John Thomas,"Mark Suozzo,Tom Judson",,,Mary Jane Fort,Susan Dexter
[Film1006],Charisma,72490,/vILXJXcTjBUZFsXViw2vmpxO0uv.jpg,1999-11-10,104,"Mystery,Drama,Thriller",ja,"Koji Yakusho,Hiroyuki Ikeuchi,Ren Osugi,Yoriko Douguchi,Yutaka Matsushige",Kiyoshi Kurosawa,"Satoshi Kanno,Atsuyuki Shimoda",Kiyoshi Kurosawa,Makio Ika,Jun'ichi Kikuchi,Junichiro Hayashi,,Tomoyuki Maruo,"Tsukasa Ariyoshi,Shinichi Uno,Tooru Yoshida",,Hiromitsu Yonemura
[Film10071],Barcelona,16771,/7dgX3naR9EsFMvQhwHY8My6r5FR.jpg,1994-07-29,100,"Comedy,Drama,Romance",en,"Taylor Nichols,Chris Eigeman,Tushka Bergen,Mira Sorvino,Pep Munné",Whit Stillman,Whit Stillman,,,Christopher Tellefsen,,,,José María Botines,Edi Giguere,"Pilar Gatius,Chass Llach"
[Film10081],I Still Know What You Did Last Summer,3600,/motBJIO921LFZkoGKCSbmSCVHBc.jpg,1998-11-13,100,"Horror,Mystery,Thriller",en,"Jennifer Love Hewitt,Freddie Prinze Jr.,Brandy Norwood,Mekhi Phifer,Matthew Settle",Danny Cannon,"Erik Feig,Neal H. Moritz,Stokely Chaffin,William S. Beasley",,,Peck Prior,Vernon Layton,John Frizzell,"Chas. Butcher,Scott Ritenour",Doug Kraner,Daniel J. Lester,"LaLette Littlejohn,Tammy Ashmore"
