ID,Title,TMDB_id,IMGID,Release,Runtime,Genres,Language,Cast,Director,Producer,Writer,Sound Designer,Editor,Director of Photography,Composer,Art Direction,Production Design,Costume Design,Makeup Artist
[Film288],Mulholland Dr.,1018,/tVxGt7uffLVhIIcwuldXOMpFBPX.jpg,2001-06-06,147,"Thriller,Drama,Mystery",en,"Naomi Watts,Laura Harring,Justin Theroux,Ann Miller,Robert Forster",David Lynch,"Alain Sarde,Mary Sweeney,Neal Edelstein,Michael Polaire,Tony Krantz",David Lynch,David Lynch,Mary Sweeney,Peter Deming,,Peter Jamison,Jack Fisk,Amy Stofsky,"Jennifer Aspinall,Randy Westgate"
[Film639],Spirited Away,129,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,2001-07-20,125,"Animation,Family,Fantasy",ja,"Rumi Hiiragi,Miyu Irino,Mari Natsuki,Takashi Naitō,Yasuko Sawaguchi",Hayao Miyazaki,Toshio Suzuki,Hayao Miyazaki,,Takeshi Seyama,Atsushi Okui,Joe Hisaishi,Yōji Takeshige,,,
[Film1441],In the Mood for Love,843,/iYypPT4bhqXfq1b6EnmxvRt6b2Y.jpg,2000-09-29,99,"Drama,Romance",cn,"Tony Leung Chiu-wai,Maggie Cheung,Rebecca Pan,Kelly Lai Chen,Siu Ping-lam",Wong Kar-wai,Wong Kar-wai,,,"William Chang,Wong Ming-Lam","Christopher Doyle,Kwan Pung-Leung,Mark Lee Ping-Bing",Shigeru Umebayashi,Man Lim-Chung,William Chang,William Chang,Kwan Lee-Na
[Film68],There Will Be Blood,7345,/fa0RDkAlCec0STeMNAhPaF89q6U.jpg,2007-12-28,158,Drama,en,"Daniel Day-Lewis,Paul Dano,Kevin J. O'Connor,Ciarán Hinds,Dillon Freasier",Paul Thomas Anderson,"Paul Thomas Anderson,Daniel Lupi,JoAnne Sellar",,Christopher Scarabosio,Dylan Tichenor,Robert Elswit,Jonny Greenwood,David Crank,Jack Fisk,Mark Bridges,
[Film153],No Country for Old Men,6977,/6d5XOczc226jECq0LIX0siKtgHR.jpg,2007-11-08,122,"Crime,Drama,Thriller",en,"Tommy Lee Jones,Javier Bardem,Josh Brolin,Woody Harrelson,Kelly Macdonald","Joel Coen,Ethan Coen","Joel Coen,Ethan Coen,Scott Rudin,David Diliberto",,Craig Berkey,"Joel Coen,Ethan Coen",Roger Deakins,Carter Burwell,John P. Goldsmith,Jess Gonchor,Mary Zophres,
[Film1164],Yi Yi,25538,/hTPkCpK9SLGDMXRbUwzoep0MxOx.jpg,2000-09-20,174,"Drama,Romance",zh,"Wu Nien-Jen,Kelly Lee,Elaine Jin,Jonathan Chang,Shu-shen Hsiao",Edward Yang,"Shinya Kawai,Naoko Tsukeda",Edward Yang,,Chen Po-Wen,,Kai-Li Peng,Cheng-Kai Wang,,,
[Film2338],Tropical Malady,11534,/9WJ8ZSZp2NC7jSvweFLskldpzzg.jpg,2004-06-24,114,"Drama,Romance,Fantasy",th,"Banlop Lomnoi,Sakda Kaewbuadee,Huai Dessom,Sirivech Jareonchon",Apichatpong Weerasethakul,Charles de Meaux,,"Akritchalerm Kalayanamitr,Thitipant Chongcharoen-choke-skul","Jacopo Quadri,Lee Chatametikool",,,,Akekarat Homlaor,Pilaitip Jamniam,
[Film2721],Love Exposure,28422,/3QSGUdzG374H7pOxIdKNBpeLEUk.jpg,2009-01-31,237,"Action,Comedy,Drama,Romance",ja,"Takahiro Nishijima,Hikari Mitsushima,Sakura Ando,Makiko Watanabe,Atsuro Watabe",Sion Sono,Haruo Umekawa,Sion Sono,,Junichi Itou,Sohei Tanikawa,Tomohide Harada,,Takashi Matsuzuka,,
[Film50],Inland Empire,1730,/ybpVOFkvYuBLofvnZ4C8TTjXBQi.jpg,2006-09-06,180,"Horror,Drama,Mystery,Thriller,Fantasy",en,"Laura Dern,Jeremy Irons,Justin Theroux,Harry Dean Stanton,Karolina Gruszka",David Lynch,"Laura Dern,David Lynch,Mary Sweeney",,David Lynch,David Lynch,David Lynch,,Christina Ann Wilson,,"Heidi Bivens,Karen Baird",
[Film7747],Syndromes and a Century,27904,/1XUMd93PRMUkCtE2NWn0zQb1NC6.jpg,2007-06-13,105,"Drama,Romance",th,"Nantarat Sawaddikul,Jaruchai Iamaram,Sophon Pukanok,Jenjira Pongpas,Arkanae Cherkam",Apichatpong Weerasethakul,"Apichatpong Weerasethakul,Charles de Meaux",Apichatpong Weerasethakul,,Lee Chatametikool,Sayombhu Mukdeeprom,Kantee Anantagant,Akekarat Homlaor,,,
[Film227],Dogville,553,/lraVawavIXh5geMlVjpzCw9TGwR.jpg,2003-05-19,178,"Crime,Drama,Thriller",en,"Nicole Kidman,Harriet Andersson,Lauren Bacall,Jean-Marc Barr,Paul Bettany",Lars von Trier,"Vibeke Windeløv,Anja Grafers,Els Vandevorst,Gillian Berrie,Bettina Brokemper,Liisa Penttilä-Asikainen",,,Molly Malene Stensgaard,Anthony Dod Mantle,Antonio Vivaldi,,Peter Grant,Manon Rasmussen,Robert McCann
[Film327],Memento,77,/yuNs09hvpHVU1cBTCAk9zxsL2oW.jpg,2000-10-11,113,"Mystery,Thriller",en,"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior,Russ Fega",Christopher Nolan,"Jennifer Todd,Suzanne Todd",,,Dody Dorn,Wally Pfister,David Julyan,,Patti Podesta,Cindy Evans,
[Film251],Eternal Sunshine of the Spotless Mind,38,/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,2004-03-19,108,"Science Fiction,Drama,Romance",en,"Jim Carrey,Kate Winslet,Kirsten Dunst,Mark Ruffalo,Elijah Wood",Michel Gondry,"Anthony Bregman,Steve Golin",,Eugene Gearty,Valdís Óskarsdóttir,Ellen Kuras,Jon Brion,David Stein,Dan Leigh,Melissa Toth,Allen Weisinger
[Film768],Werckmeister Harmonies,23160,/nxWEG9JzmJx3eLE8y7CUHmaj3CE.jpg,2000-07-12,139,Drama,hu,"Lars Rudolph,Peter Fitz,Hanna Schygulla,Alfréd Járai,Gyula Pauer","Béla Tarr,Ágnes Hranitzky","Joachim von Vietinghoff,Paul Saadoun,Franz Goëss,Miklós Szita",László Krasznahorkai,György Kovács,Ágnes Hranitzky,"Miklós Gurbán,Rob Tregenza,Gábor Medvigy,Erwin Lanzensberger,Patrick De Ranter,Emil Novák",,,,"János Breckl,Erzsébet Rácz",
[Film1223],Eureka,38047,/hYe0YK20iI7Bdi8mdzW2JOJKbhj.jpg,2000-05-18,218,Drama,ja,"Koji Yakusho,Aoi Miyazaki,Masaru Miyazaki,Yôichirô Saitô,Sayuri Kokushô",Shinji Aoyama,Takenori Sentô,Shinji Aoyama,,Shinji Aoyama,Masaki Tamura,"Shinji Aoyama,Isao Yamada",,Takeshi Shimizu,,
[Film1870],"Synecdoche, New York",4960,/ZLNHDNSnBzQlCEjHMsQ7mJU0sX.jpg,2008-10-24,124,Drama,en,"Philip Seymour Hoffman,Samantha Morton,Jennifer Jason Leigh,Michelle Williams,Catherine Keener",Charlie Kaufman,"Charlie Kaufman,Anthony Bregman,Spike Jonze,Sidney Kimmel",,Eugene Gearty,Robert Frazen,Frederick Elmes,Jon Brion,Adam Stockhausen,Mark Friedberg,Melissa Toth,
[Film2458],Memories of Murder,11423,/jcgUjx1QcupGzjntTVlnQ15lHqy.jpg,2003-05-02,131,"Crime,Drama,Thriller",ko,"Song Kang-ho,Kim Sang-kyung,Kim Roi-ha,Song Jae-ho,Park Hae-il",Bong Joon-ho,"Tcha Sung-jai,Kim Moo-ryoung,Noh Jong-yun","Bong Joon-ho,Shim Sung-bo",Lee In-gyu,Kim Sun-min,Kim Hyung-koo,Tarō Iwashiro,,Ryu Seong-hie,Kim Yoo-seon,
[Film1854],What Time Is It There?,24166,/dRsZF1I4s4jx99wEyZyIsOpu3Uw.jpg,2001-09-26,116,"Drama,Romance",zh,"Lee Kang-sheng,Chen Shiang-Chyi,Lu Yi-Ching,Miao Tien",Tsai Ming-liang,"Lee Kang-sheng,Yeh Jufeng,Michel Imbert","Tsai Ming-liang,Pi-ying Yang",,Chan Sing-Cheong,Benoît Delhomme,,Timmy Yip,,,
[Film470],Children of Men,9693,/5Xp9utB0DOJrP9A2RbUHkPWpim3.jpg,2006-09-19,109,"Drama,Action,Thriller,Science Fiction",en,"Clive Owen,Julianne Moore,Clare-Hope Ashitey,Michael Caine,Chiwetel Ejiofor",Alfonso Cuarón,"Iain Smith,Marc Abraham,Eric Newman,Pablo Casacuberta,Hilary Shor,Tony Smith,Kristel Laiblin",,Richard Beggs,"Alfonso Cuarón,Alex Rodríguez",Emmanuel Lubezki,John Tavener,"Stuart Rose,Paul Inglis,Mike Stallion,Ray Chan","Jim Clay,Geoffrey Kirkland",Janey Temime,"Susan Reilly LeHane,Vivienne Simpson"
[Film170],Oldboy,670,/pWDtjs568ZfOTMbURQBYuT4Qxka.jpg,2003-11-21,120,"Drama,Thriller,Mystery,Action",ko,"Choi Min-sik,Yoo Ji-tae,Kang Hye-jung,Kim Byung-ok,Ji Dae-han",Park Chan-wook,Syd Lim,,,Kim Sang-bum,Jeong Jeong-hun,"Choi Seung-hyun,Cho Young-wook,Shim Hyun-jung,Lee Ji-soo",,Ryu Seong-hie,Cho Sang-kyung,
[Film27],Lost in Translation,153,/wkSzJs7oMf8MIr9CQVICsvRfwA7.jpg,2003-09-18,102,"Comedy,Drama,Romance",en,"Bill Murray,Scarlett Johansson,Giovanni Ribisi,Anna Faris,Akiko Takeshita",Sofia Coppola,"Francis Ford Coppola,Sofia Coppola,Ross Katz",,Richard Beggs,Sarah Flack,Lance Acord,Kevin Shields,Rika Nakanishi,"K.K. Barrett,Anne Ross",Nancy Steiner,Akemi
[Film205],Kill Bill: Vol. 1,24,/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,2003-10-10,111,"Action,Crime",en,"Uma Thurman,Lucy Liu,Vivica A. Fox,Daryl Hannah,David Carradine",Quentin Tarantino,"Lawrence Bender,Katsuji Morishita",Quentin Tarantino,"Harry Cohen,Peter Michael Sullivan",Sally Menke,Robert Richardson,RZA,"Daniel Bradford,Minoru Nishida,Cao Juiping,Hidefumi Hanatani,Lu Yo Lui","David Wasco,Yohei Taneda","Catherine Marie Thomas,Kumiko Ogawa,Mark Zunino,Alexander AD",Ilona Herman
[Film632],Amélie,194,/oTKduWL2tpIKEmkAqF4mFEAWAsv.jpg,2001-04-25,122,"Comedy,Romance",fr,"Audrey Tautou,Mathieu Kassovitz,Rufus,Lorella Cravotta,Serge Merlin",Jean-Pierre Jeunet,"Claudie Ossard,Arne Meerkamp van Embden","Jean-Pierre Jeunet,Guillaume Laurant",Laurent Kossayan,Hervé Schneid,Bruno Delbonnel,Yann Tiersen,"Volker Schäfer,Mathieu Junot",Aline Bonetto,Madeline Fontaine,Vesna Estord
[Film1334],Before Sunset,80,/gycdE1ARByGQcK4fYR2mgpU6OO.jpg,2004-02-10,80,"Drama,Romance",en,"Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Louise Lemoine Torrès,Rodolphe Pauly",Richard Linklater,"Richard Linklater,Anne Walker-McBay",,,Sandra Adair,Lee Daniel,,,Baptiste Glaymann,Thierry Delettre,
[Film178],Dancer in the Dark,16,/9rsivF4sWfmBzrNr4LPu6TNJhXX.jpg,2000-06-30,141,"Drama,Crime",en,"Björk,Catherine Deneuve,David Morse,Peter Stormare,Joel Grey",Lars von Trier,"Vibeke Windeløv,Friðrik Þór Friðriksson,Finn Gjerdrum,Mogens Glad,Anja Grafers,Torleif Hauge,Tero Kaukomaa,Poul Erik Lindeborg,Els Vandevorst,Leo Pescarolo",Lars von Trier,"Kristian Eidnes Andersen,Per Streit","François Gédigier,Molly Malene Stensgaard",Robby Müller,Björk,Peter Grant,Karl Júlíusson,Manon Rasmussen,"Cédric Gérard,Ursula Rödel"
