ID,Title,TMDB_id,IMGID,Release,Runtime,Genres,Language,Cast,Director,Producer,Writer,Sound Designer,Editor,Director of Photography,Composer,Art Direction,Production Design,Costume Design,Makeup Artist,Title
[Film195018],Parasite,496243,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,2019-05-30,133,"Comedy,Thriller,Drama",ko,"Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-shik,Park So-dam",Bong Joon-ho,"Bong Joon-ho,Moon Yang-kwon,Jang Young-hwan,Kwak Sin-ae",,,Yang Jin-Mo,Hong Kyung-pyo,Jung Jae-il,Mo So-ra,Lee Ha-jun,Choi Se-yeon,,Parasite
[Film167981],Moonlight,376867,/rcICfiL9fvwRjoWHxW8QeroLYrJ.jpg,2016-10-21,111,Drama,en,"Trevante Rhodes,André Holland,Janelle Monáe,Ashton Sanders,Jharrel Jerome",Barry Jenkins,"Dede Gardner,Jeremy Kleiner,Adele Romanski",,,"Nat Sanders,Joi McMillon",James Laxton,Nicholas Britell,Mabel Barba,Hannah Beachler,Caroline Eselin Shaefer,,Moonlight
[Film105784],The Act of Killing,123678,/wg9QERtcZTTcOu6La3nZCfJUMHG.jpg,2012-08-31,115,Documentary,id,"Anwar Congo,Herman Koto,Syamsul Arifin,Ibrahim Sinik,Yapto Soerjosoemarno",Joshua Oppenheimer,"Christine Cynn,Anne Köhncke,Signe Byrge Sørensen,Joram ten Brink,Michael Uwemedimo",,Elin Øyen Vister,"Janus Billeskov Jansen,Nils Pagh Andersen,Erik Andersson,Charlotte Munch Bengtsen,Ariadna Fatjó-Vilas,Mariko Montpetit","Lars Skree,Carlos Arango De Montis",,,,,,The Act of Killing
[Film72000],A Separation,60243,/wQVvASmpm8jGhJBQU20OkoMcNzi.jpg,2011-03-15,123,Drama,fa,"Leila Hatami,Payman Maadi,Shahab Hosseini,Sare Bayat,Sarina Farhadi",Asghar Farhadi,Asghar Farhadi,,,Hayedeh Safiyari,Mahmoud Kalari,Sattar Oraki,,Keyvan Moghaddam,,Mehrdad Mirkiani,A Separation
[Film181278],Burning,491584,/ld6Lu9gEI93jPC1yHSoKObE1Cyp.jpg,2018-05-17,148,"Mystery,Drama,Thriller",ko,"Yoo Ah-in,Steven Yeun,Jeon Jong-seo,Kim Soo-kyung,Choi Seung-ho",Lee Chang-dong,Ok Gwang-hee,Haruki Murakami,,"Kim Hyun,Kim Da-won",Hong Kyung-pyo,Mowg,,Shin Jeom-hee,Lee Choong-yeon,,Burning
[Film20772],The Tree of Life,8967,/l8cwuB5WJSoj4uMAsnzuHBOMaSJ.jpg,2011-05-17,139,"Drama,Fantasy",en,"Brad Pitt,Sean Penn,Jessica Chastain,Hunter McCracken,Finnegan Williams",Terrence Malick,"Brad Pitt,Grant Hill,Sarah Green,Dede Gardner,Bill Pohlad",Terrence Malick,"Craig Berkey,Erik Aadahl,Will Files","Jay Rabinowitz,Billy Weber,Hank Corwin,Daniel Rezende,Mark Yoshikawa",Emmanuel Lubezki,Alexandre Desplat,,Jack Fisk,Jacqueline West,Jean Ann Black,The Tree of Life
[Film174728],Phantom Thread,400617,/mgeVXLTdqtA5gf0cm0ZVd9GAvsm.jpg,2015-03-08,130,"Drama,Romance",en,"Daniel Day-Lewis,Vicky Krieps,Lesley Manville,Camilla Rutherford,Gina McKee",Paul Thomas Anderson,"Paul Thomas Anderson,Daniel Lupi,JoAnne Sellar,Megan Ellison",Paul Thomas Anderson,Christopher Scarabosio,Dylan Tichenor,Paul Thomas Anderson,Jonny Greenwood,"Adam Squires,Chris Peters",Mark Tildesley,Mark Bridges,"Sarita Allison,Daniel Lawson Johnston,Louise Young,Paul Paintin",Phantom Thread
[Film23634],The Turin Horse,81401,/2kSElneXSKmMsGL55k0CbPGqLbu.jpg,2011-02-15,155,Drama,hu,"János Derzsi,Erika Bók,Mihály Kormos,Ricsi","Béla Tarr,Ágnes Hranitzky","Ruth Waldburger,Gábor Téni,Martin Hagemann,Juliette Lepoutre,Marie-Pierre Macia",,,Ágnes Hranitzky,Fred Kelemen,Mihály Víg,,László Rajk,,,The Turin Horse
[Film110695],It's Such a Beautiful Day,489412,/o0CF7gnPb4CRFU3bmScoWAxKaqf.jpg,2012-08-24,62,"Drama,Animation",en,"Don Hertzfeldt,Sara Cushman",Don Hertzfeldt,Don Hertzfeldt,Don Hertzfeldt,,Brian Hamblin,,,,,,,It's Such a Beautiful Day
[Film58834],The Master,68722,/rUSjbyvYWN9H4az8xt0tDtU7I6v.jpg,2012-09-07,137,Drama,en,"Joaquin Phoenix,Philip Seymour Hoffman,Amy Adams,Laura Dern,Jesse Plemons",Paul Thomas Anderson,"Paul Thomas Anderson,Daniel Lupi,JoAnne Sellar,Megan Ellison",Paul Thomas Anderson,Christopher Scarabosio,"Leslie Jones,Peter McNulty",Mihai Malaimare Jr.,Jonny Greenwood,,"Jack Fisk,David Crank",Mark Bridges,"Melody Levy,Andrea Pino",The Master
